MsgID.STATE,1521839760.0748959,False,False
MsgID.GLOBAL_POSITION,1521839772.8831391,-122.3974499,37.7924801,0.1120000
MsgID.LOCAL_VELOCITY,1521839772.8831391,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8832550,-0.0383212,0.2980248,-0.1124139
MsgID.LOCAL_VELOCITY,1521839772.8832550,-0.0000155,0.0000007,0.0000125
MsgID.GLOBAL_POSITION,1521839772.8833768,-122.3974514,37.7924797,0.1240000
MsgID.LOCAL_VELOCITY,1521839772.8833768,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8834960,-0.0845078,0.1627657,-0.1248612
MsgID.LOCAL_VELOCITY,1521839772.8834960,0.0000006,0.0000125,0.0000184
MsgID.STATE,1521839772.8836679,True,True
MsgID.GLOBAL_HOME,1521839772.8838029,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8839049,-122.3974522,37.7924786,0.1310000
MsgID.LOCAL_VELOCITY,1521839772.8839049,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8840230,-0.1983573,0.0904597,-0.1315518
MsgID.LOCAL_VELOCITY,1521839772.8840230,0.0000288,0.0000031,0.0000141
MsgID.GLOBAL_POSITION,1521839772.8841500,-122.3974501,37.7924797,0.1290000
MsgID.LOCAL_VELOCITY,1521839772.8841500,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8842750,-0.0780663,0.2788718,-0.1297726
MsgID.LOCAL_VELOCITY,1521839772.8842750,0.0000057,-0.0000245,0.0000147
MsgID.GLOBAL_POSITION,1521839772.8844020,-122.3974492,37.7924800,0.1180000
MsgID.LOCAL_VELOCITY,1521839772.8844020,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8845210,-0.0496018,0.3597444,-0.1182202
MsgID.LOCAL_VELOCITY,1521839772.8845210,0.0000077,0.0000047,0.0000179
MsgID.GLOBAL_POSITION,1521839772.8846521,-122.3974516,37.7924799,0.0990000
MsgID.LOCAL_VELOCITY,1521839772.8846521,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8847849,-0.0583397,0.1502556,-0.0994809
MsgID.LOCAL_VELOCITY,1521839772.8847849,0.0000091,0.0000115,0.0000189
MsgID.STATE,1521839772.8849669,True,True
MsgID.GLOBAL_HOME,1521839772.8851049,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8852129,-122.3974520,37.7924798,0.0690000
MsgID.LOCAL_VELOCITY,1521839772.8852129,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8853490,-0.0710439,0.1094182,-0.0694880
MsgID.LOCAL_VELOCITY,1521839772.8853490,-0.0000098,-0.0000029,0.0000139
MsgID.GLOBAL_POSITION,1521839772.8854809,-122.3974514,37.7924810,0.0380000
MsgID.LOCAL_VELOCITY,1521839772.8854809,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8856010,0.0698219,0.1668030,-0.0380861
MsgID.LOCAL_VELOCITY,1521839772.8856010,0.0000014,0.0000037,0.0000170
MsgID.GLOBAL_POSITION,1521839772.8857250,-122.3974498,37.7924801,0.0000000
MsgID.LOCAL_VELOCITY,1521839772.8857250,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8858480,-0.0392657,0.3073598,0.0000175
MsgID.LOCAL_VELOCITY,1521839772.8858480,-0.0000145,-0.0000154,0.0000096
MsgID.GLOBAL_POSITION,1521839772.8859708,-122.3974501,37.7924794,-0.0320000
MsgID.LOCAL_VELOCITY,1521839772.8859708,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8860910,-0.1120377,0.2819671,0.0321256
MsgID.LOCAL_VELOCITY,1521839772.8860910,0.0000070,-0.0000124,0.0000030
MsgID.STATE,1521839772.8862720,True,True
MsgID.GLOBAL_HOME,1521839772.8864179,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521839772.8865211,-122.3974507,37.7924803,-0.0630000
MsgID.LOCAL_VELOCITY,1521839772.8865211,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8866401,-0.0133596,0.2254842,0.0637172
MsgID.LOCAL_VELOCITY,1521839772.8866401,0.0000106,0.0000037,0.0000036
MsgID.GLOBAL_POSITION,1521839772.8867798,-122.3974516,37.7924794,-0.0840000
MsgID.LOCAL_VELOCITY,1521839772.8867798,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521839772.8868999,-0.1116608,0.1475736,0.0848569
MsgID.LOCAL_VELOCITY,1521839772.8868999,0.0000842,-0.0000355,0.0000047
MsgID.GLOBAL_POSITION,1521839772.8870301,-122.3974499,37.7924789,-0.0990000
MsgID.LOCAL_VELOCITY,1521839772.8870301,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1521839772.8871469,-0.1650048,0.3019014,0.0996106
MsgID.LOCAL_VELOCITY,1521839772.8871469,0.0000185,-0.0000723,-0.0319966
MsgID.GLOBAL_POSITION,1521839772.8872690,-122.3974502,37.7924810,-0.0900000
MsgID.LOCAL_VELOCITY,1521839772.8872690,0.0000000,-0.0100000,-0.0400000
MsgID.LOCAL_POSITION,1521839772.8873868,0.0689099,0.2750903,0.0900879
